State,Cities,2015__so2,2015__no2,2015__pm10,2015__pm2.5,2016__so2,2016__no2,2016__pm10,2016__pm2.5,2017__so2,2017__no2,2017__pm10,2017__pm2.5
Uttar Pradesh,Agra,4,22,186,NA,5,22,198,NA,4,23,193,NA
Gujarat,Ahmedabad,13,21,89,29,14,27,108,34,13,29,114,37
Uttar Pradesh,Allahabad,4,26,250,NA,4,37,196,NA,4,40,140,NA
Punjab,Amritsar,11,30,148,NA,12,29,194,NA,11,27,168,NA
Maharashtra,Aurangabad,13,40,83,NA,14,39,92,NA,10,33,83,NA
Karnataka,Bangalore,6,20,119,54,3,31,103,51,2,31,91,46
Madhya Pradesh,Bhopal,3,23,158,105,3,15,89,27,4,15,93,41
Tamilnadu,Chennai,13,20,59,22,10,18,65,25,11,16,66,NA
Tamilnadu,Coimbatore,4,25,47,30,6,24,59,35,5,26,49,35
Delhi,Delhi,5,65,220,95,7,66,278,118,7,68,241,106
Jharkhand,Dhanbad,12,37,168,NA,15,37,226,NA,15,37,238,NA
Maharashtra,Dombivali/Ambernath,20,53,104,56,26,76,128,NA,27,70,177,NA
Haryana,Faridabad,15,74,105,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,Ghaziabad,23,37,260,77,15,28,235,NA,22,35,283,NA
Madhya Pradesh,Gwalior,10,14,125,73,10,14,96,52,10,17,110,47
West Bengal,Howrah,15,43,123,NA,10,59,119,67,11,61,91,55
Telangana,Hydrabad,4,23,93,NA,4,27,100,49,6,34,120,52
Madhya Pradesh,Indore,11,20,97,40,11,20,95,54,11,21,80,43
Madhya Pradesh,Jabalpur,9,28,90,NA,10,23,71,32,10,21,74,23
Rajasthan,Jaipur,7,36,171,NA,8,33,199,NA,8,31,178,NA
Rajasthan,Jodhpur,6,24,152,NA,6,23,168,NA,6,22,182,NA
Uttar Pradesh,Kanpur,6,36,201,NA,7,39,217,NA,7,45,224,NA
West Bengal,Kolkata,7,56,105,55,4,49,113,70,4,37,109,64
Rajasthan,Kota,6,34,134,NA,7,30,109,NA,8,27,132,NA
Uttar Pradesh,Lucknow,8,28,169,NA,8,27,214,NA,8,26,247,105
Punjab,Ludhiana,11,27,139,NA,11,25,139,NA,9.5,28,162,NA
Tamilnadu,Madurai,13,25,64,32,15,24,76,38,14,23,67,NA
Uttar Pradesh,Meerut,6,39,144,NA,7,55,157,NA,7,52,153,NA
Maharashtra,Mumbai,4,25,107,26,6,30,119,NA,3,18,151,NA
Maharashtra,Nagpur,10,25,90,NA,16,26,118,NA,9,28,95,NA
Maharashtra,Nashik,15,23,78,NA,13,27,85,NA,12,22,79,NA
Maharashtra,Navi Mumbai,18,42,125,NA,19,46,118,NA,22,45,105,NA
Bihar,Patna,4,41,204,NA,4,32,212,NA,5,39,156,NA
Maharashtra,PimpriChinch wad,23,52,102,NA,32,71,105,NA,24,61,82,NA
Maharashtra,Pune,23,62,99,NA,28,78,107,NA,21,65,102,NA
Chattisgarh,Raipur,13,36,188,NA,12,31,148,NA,NA,NA,NA,NA
Gujarat,Rajkot,13,19,83,30,13,21,92,32,15,21,100,35
Jharkhand,Ranchi,19,36,220,NA,20,37,196,NA,19,37,142,NA
Jammu & Kashmir,Shrinagar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gujarat,Surat,14,20,89,31,13,22,92,31,16,24,99,34
Maharashtra,Thane,28,58,117,NA,18,60,122,NA,18,47,125,NA
Gujarat,Vadodara,14,20,87,33,14,23,92,30,15,22,103,35
Uttar Pradesh,Varanasi,19,33,145,NA,11,32,256,NA,10,40,215,NA
Maharashtra,Vasai-virar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andhra Pradesh,Vijaywada,6,37,110,NA,6,44,102,NA,6,29,99,NA
Andhra Pradesh,Vishakhapatn am,9,19,61,NA,8,18,77,NA,9,17,73,NA
